prot1,prot2,gene1,gene2,idm,authors,pub_id,species1,species2,interaction_type,source_databases,interaction_identifiers,confidence_score,biological_role1,biological_role2,exp_role1,exp_role2,interactor_type1,interactor_type2,taxid_host,participant_id_method1,participant_id_method2,service_name,biogrid_experimental_system,biogrid_description,biogrid_type,throughput
P30771,Q12517,NAM7,DCP1,"psi-mi:""MI:0018""(two hybrid)",Ford AS (2006),pubmed:16467471,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:196474,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,Q12517,NAM7,DCP1,"psi-mi:""MI:0004""(affinity chromatography technology)",Ford AS (2006),pubmed:16467471,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:196475,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0113""(western blot)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,Q99383,NAM7,HRP1,"psi-mi:""MI:0004""(affinity chromatography technology)",Wang W (2006),pubmed:16611983,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:213208,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0113""(western blot)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0004""(affinity chromatography technology)",Wang W (2006),pubmed:16611983,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:213210,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0113""(western blot)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,Q03466,NAM7,EBS1,"psi-mi:""MI:0004""(affinity chromatography technology)",Luke B (2007),pubmed:17984081,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:264615,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0113""(western blot)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,P39517,NAM7,DHH1,"psi-mi:""MI:0090""(protein complementation assay)",Tarassov K (2008),pubmed:18467557,taxid:559292,taxid:559292,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:272646,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0584""(fluorescence acceptor)","psi-mi:""MI:0583""(fluorescence donor)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,PCA,"A protein-protein interaction assay in which a bait protein is expressed as fusion to one of the either N- or C- terminal peptide fragments of a reporter protein and prey protein is expressed as fusion to the complementary N- or C- terminal fragment of the same reporter protein. Interaction of bait and prey proteins bring together complementary fragments, which can then fold into an active reporter.",Physical,High Throughput
P30771,P53550,NAM7,DCP2,"psi-mi:""MI:0090""(protein complementation assay)",Tarassov K (2008),pubmed:18467557,taxid:559292,taxid:559292,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:274396,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0583""(fluorescence donor)","psi-mi:""MI:0584""(fluorescence acceptor)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,PCA,"A protein-protein interaction assay in which a bait protein is expressed as fusion to one of the either N- or C- terminal peptide fragments of a reporter protein and prey protein is expressed as fusion to the complementary N- or C- terminal fragment of the same reporter protein. Interaction of bait and prey proteins bring together complementary fragments, which can then fold into an active reporter.",Physical,High Throughput
P14682,P30771,CDC34,NAM7,"psi-mi:""MI:0401""(biochemical)",Takahashi S (2008),pubmed:18676617,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:329767,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:in vitro(-1),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0661""(experimental participant identification)",BioGrid,Reconstituted Complex,"Interaction is directly detected between purified proteins in vitro, usually in recombinant form.",Physical,Low Throughput
P30771,P50623,NAM7,UBC9,"psi-mi:""MI:0401""(biochemical)",Takahashi S (2008),pubmed:18676617,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:329768,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:in vitro(-1),"psi-mi:""MI:0661""(experimental participant identification)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Reconstituted Complex,"Interaction is directly detected between purified proteins in vitro, usually in recombinant form.",Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0004""(affinity chromatography technology)",Takahashi S (2008),pubmed:18676617,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:329769,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,P48412,NAM7,UPF3,"psi-mi:""MI:0004""(affinity chromatography technology)",Takahashi S (2008),pubmed:18676617,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:329770,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P05453,P30771,SUP35,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Takahashi S (2008),pubmed:18676617,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:329771,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0113""(western blot)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,P32589,NAM7,SSE1,"psi-mi:""MI:0004""(affinity chromatography technology)",Gong Y (2009),pubmed:19536198,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:333289,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P32589,NAM7,SSE1,"psi-mi:""MI:0004""(affinity chromatography technology)",Gong Y (2009),pubmed:19536198,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:333290,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P57743,NAM7,LSM3,"psi-mi:""MI:0004""(affinity chromatography technology)",Taoka M (2009),pubmed:19740761,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:344377,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,Low Throughput
P30771,P39969,NAM7,BOI2,"psi-mi:""MI:0018""(two hybrid)",Tonikian R (2009),pubmed:19841731,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:345096,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,High Throughput
P30771,P43588,NAM7,RPN11,"psi-mi:""MI:0004""(affinity chromatography technology)",Kaake RM (2010),pubmed:20170199,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:431379,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P29295,P30771,HRR25,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Breitkreutz A (2010),pubmed:20489023,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:439792,score:0.872,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P53741,NAM7,BRE5,"psi-mi:""MI:0004""(affinity chromatography technology)",Ossareh-Nazari B (2010),pubmed:20508643,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:446687,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,Q01477,NAM7,UBP3,"psi-mi:""MI:0004""(affinity chromatography technology)",Ossareh-Nazari B (2010),pubmed:20508643,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:447064,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P32605,NAM7,MUD1,"psi-mi:""MI:0004""(affinity chromatography technology)",Schwer B (2011),pubmed:21558325,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:554444,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,Q00539,NAM7,NAM8,"psi-mi:""MI:0004""(affinity chromatography technology)",Schwer B (2011),pubmed:21558325,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:554496,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P25808,P30771,SPB4,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Garcia-Gomez JJ (2011),pubmed:21825077,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:563674,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P53550,NAM7,DCP2,"psi-mi:""MI:0018""(two hybrid)",Swisher KD (2011),pubmed:22065998,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:591006,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",Swisher KD (2011),pubmed:22065998,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:591007,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P25644,P30771,PAT1,NAM7,"psi-mi:""MI:0018""(two hybrid)",Swisher KD (2011),pubmed:22065998,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:591008,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P39998,NAM7,EDC3,"psi-mi:""MI:0018""(two hybrid)",Swisher KD (2011),pubmed:22065998,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:591009,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P05453,P30771,SUP35,NAM7,"psi-mi:""MI:0401""(biochemical)",Kervestin S (2012),pubmed:22227378,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:617262,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:in vitro(-1),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0661""(experimental participant identification)",BioGrid,Reconstituted Complex,"Interaction is directly detected between purified proteins in vitro, usually in recombinant form.",Physical,Low Throughput
P02309,P30771,HHF1,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Gilmore JM (2011),pubmed:22199229,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:633259,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,Q12510,NAM7,CMR1,"psi-mi:""MI:0004""(affinity chromatography technology)",Gilmore JM (2011),pubmed:22199229,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:635137,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P12385,P30771,SUP45,NAM7,"psi-mi:""MI:0018""(two hybrid)",Zhyravleva GA (2012),pubmed:22670525,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:671012,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P04147,P30771,PAB1,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Richardson R (2012),pubmed:22836166,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:676647,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,Low Throughput|High Throughput
P04147,P30771,PAB1,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Richardson R (2012),pubmed:22836166,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:691975,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P00560,P30771,PGK1,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Kuroha K (2013),pubmed:23928302,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:886816,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
